model,pretty_name,SingleOp,SingleQ,MultiArith,SVAMP,GSM8K,MMLU-Math,BBHDeduction,BBHCounting,BBHNavigate,HotpotQA,SQuAD,DROP,Winograd-WSC
Llama-3.2-3B-Instruct,MXFP4-RTN-H,94.0,99.0,90.58823529411765,85.66037735849056,75.37313432835822,43.07116104868914,59.00000000000001,57.89473684210527,58.00000000000001,71.2707182320442,63.975155279503106,55.50239234449761,57.43589743589743
Llama-3.2-3B-Instruct,NVFP4-GPTQ-I,96.0,99.0,95.88235294117648,86.41509433962264,78.35820895522389,61.048689138576776,70.5,66.31578947368422,67.0,76.24309392265194,69.56521739130434,55.98086124401913,68.2051282051282
Llama-3.2-3B-Instruct,NVFP4-GPTQ-I,97.33333333333334,98.0,98.23529411764706,89.05660377358491,79.8507462686567,55.80524344569289,61.5,71.05263157894737,61.5,81.76795580110497,73.29192546583852,51.674641148325364,63.589743589743584
Llama-3.2-3B-Instruct,NVFP4-GPTQ-I,96.0,99.0,99.41176470588235,88.30188679245283,79.8507462686567,55.430711610486895,73.0,67.89473684210526,65.99999999999999,77.90055248618785,69.56521739130434,55.02392344497608,57.94871794871794
Llama-3.2-3B-Instruct,NVFP4-GPTQ-I,98.0,99.0,95.29411764705881,87.54716981132076,77.61194029850746,59.55056179775281,60.0,68.42105263157895,67.0,77.34806629834254,70.1863354037267,46.889952153110045,60.51282051282052
Llama-3.2-3B-Instruct,NVFP4-GPTQ-I,98.66666666666667,99.0,95.29411764705881,87.54716981132076,80.59701492537313,61.79775280898876,69.0,70.0,65.0,83.97790055248619,76.3975155279503,58.851674641148335,62.56410256410256
Llama-3.2-3B-Instruct,MXFP4-GPTQ-WUSH,95.33333333333334,97.0,97.6470588235294,86.79245283018868,81.71641791044776,51.31086142322096,60.5,61.05263157894737,67.0,76.24309392265194,66.45962732919256,57.41626794258373,59.48717948717949
Llama-3.2-3B-Instruct,NVFP4-GPTQ-WUSH,98.0,97.0,92.94117647058823,87.16981132075472,79.8507462686567,56.55430711610487,62.0,66.31578947368422,62.0,74.58563535911603,68.944099378882,53.588516746411486,61.02564102564103
Llama-3.2-3B-Instruct,MXFP4-GPTQ-WUSH,98.0,97.0,94.11764705882352,85.66037735849056,78.35820895522389,51.31086142322096,67.0,66.8421052631579,62.5,71.82320441988949,72.67080745341615,55.98086124401913,64.1025641025641
Llama-3.2-3B-Instruct,MXFP4-GPTQ-WUSH,95.33333333333334,99.0,96.47058823529412,87.54716981132076,81.34328358208955,51.31086142322096,68.0,65.26315789473685,59.00000000000001,72.92817679558011,73.91304347826086,56.459330143540676,58.46153846153845
Llama-3.2-3B-Instruct,MXFP4-GPTQ-WUSH,98.0,98.0,97.6470588235294,89.81132075471699,78.73134328358209,52.059925093632955,63.0,63.1578947368421,61.0,74.58563535911603,75.15527950310559,61.24401913875598,62.56410256410256
Llama-3.2-3B-Instruct,MXFP4-GPTQ-WUSH,96.66666666666667,99.0,97.05882352941177,85.66037735849056,77.23880597014924,57.30337078651686,62.5,64.21052631578948,57.00000000000001,73.48066298342542,68.32298136645963,59.33014354066985,60.0
Llama-3.2-3B-Instruct,MXFP4-GPTQ-H,98.0,100.0,97.05882352941177,86.41509433962264,79.10447761194031,50.187265917603,63.0,59.47368421052632,62.5,68.50828729281768,70.80745341614907,39.23444976076556,57.94871794871794
Llama-3.2-3B-Instruct,MXFP4-GPTQ-H,98.0,97.0,93.52941176470588,88.67924528301887,75.74626865671642,47.19101123595506,60.5,65.78947368421053,63.0,65.19337016574586,70.1863354037267,53.588516746411486,61.53846153846154
Llama-3.2-3B-Instruct,MXFP4-GPTQ-H,97.33333333333334,99.0,97.6470588235294,85.66037735849056,79.10447761194031,51.31086142322096,64.5,67.36842105263158,65.0,71.2707182320442,69.56521739130434,45.933014354066984,59.48717948717949
Llama-3.2-3B-Instruct,MXFP4-GPTQ-H,97.33333333333334,99.0,95.29411764705881,88.30188679245283,78.73134328358209,47.94007490636704,64.0,64.73684210526316,62.0,67.40331491712708,67.0807453416149,46.411483253588514,63.589743589743584
Llama-3.2-3B-Instruct,MXFP4-GPTQ-H,96.0,99.0,92.3529411764706,86.41509433962264,76.86567164179104,50.936329588014985,63.0,62.63157894736842,67.0,68.50828729281768,74.53416149068323,50.23923444976077,57.43589743589743
Llama-3.2-3B-Instruct,NVFP4-GPTQ-H,98.0,100.0,97.05882352941177,90.9433962264151,82.46268656716418,61.79775280898876,56.00000000000001,63.68421052631579,65.0,76.24309392265194,71.42857142857143,55.50239234449761,66.66666666666667
Llama-3.2-3B-Instruct,NVFP4-GPTQ-H,98.0,98.0,95.88235294117648,87.54716981132076,80.59701492537313,60.299625468164784,60.5,69.47368421052632,65.99999999999999,73.48066298342542,65.83850931677019,52.63157894736843,62.56410256410256
Llama-3.2-3B-Instruct,NVFP4-GPTQ-H,97.33333333333334,99.0,97.05882352941177,85.66037735849056,80.59701492537313,55.80524344569289,65.5,65.78947368421053,61.5,72.37569060773481,70.80745341614907,55.50239234449761,59.48717948717949
Llama-3.2-3B-Instruct,MXFP4-RTN-WUSH,98.66666666666667,99.0,97.05882352941177,85.66037735849056,79.10447761194031,59.925093632958806,59.5,66.31578947368422,65.99999999999999,61.87845303867403,63.975155279503106,42.10526315789473,54.358974358974365
Llama-3.2-3B-Instruct,MXFP4-RTN-WUSH,99.33333333333333,97.0,95.29411764705881,86.0377358490566,78.73134328358209,47.56554307116105,59.5,67.89473684210526,63.5,67.95580110497237,74.53416149068323,50.717703349282296,60.0
Llama-3.2-3B-Instruct,NVFP4-GPTQ-H,97.33333333333334,98.0,96.47058823529412,87.54716981132076,81.34328358208955,56.928838951310865,61.5,66.31578947368422,70.5,72.92817679558011,72.04968944099379,58.37320574162679,63.07692307692307
Llama-3.2-3B-Instruct,NVFP4-GPTQ-H,96.0,99.0,94.70588235294117,86.41509433962264,77.98507462686567,59.176029962546814,63.0,66.8421052631579,65.0,72.92817679558011,73.29192546583852,50.23923444976077,60.0
Llama-3.2-3B-Instruct,MXFP4-RTN-WUSH,96.0,96.0,98.23529411764706,83.77358490566039,74.62686567164178,48.68913857677902,65.99999999999999,57.89473684210527,56.00000000000001,72.37569060773481,74.53416149068323,52.63157894736843,57.94871794871794
Llama-3.2-3B-Instruct,MXFP4-RTN-WUSH,98.0,97.0,94.70588235294117,86.0377358490566,72.76119402985076,59.176029962546814,57.00000000000001,69.47368421052632,65.99999999999999,71.82320441988949,73.91304347826086,54.54545454545454,59.48717948717949
Llama-3.2-3B-Instruct,NVFP4-RTN-WUSH,95.33333333333334,100.0,95.88235294117648,88.30188679245283,79.10447761194031,56.55430711610487,61.5,67.36842105263158,63.0,66.29834254143645,69.56521739130434,55.02392344497608,67.17948717948718
